Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,BldgType,HouseStyle,OverallQual,OverallCond,Foundation,BsmtQual,BsmtCond,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Fireplaces,FireplaceQu,GarageQual,GarageCond,PoolQC,Fence,SaleCondition,SalePrice
12,60,RL,85,11924,IR1,1Fam,2Story,9,5,PConc,Ex,TA,GasA,Ex,Y,SBrkr,Ex,2,Gd,TA,TA,NA,NA,Partial,345000
13,20,RL,NA,12968,IR2,1Fam,1Story,5,6,CBlock,TA,TA,GasA,TA,Y,SBrkr,TA,0,NA,TA,TA,NA,NA,Normal,144000
14,20,RL,91,10652,IR1,1Fam,1Story,7,5,PConc,Gd,TA,GasA,Ex,Y,SBrkr,Gd,1,Gd,TA,TA,NA,NA,Partial,279500
15,20,RL,NA,10920,IR1,1Fam,1Story,6,5,CBlock,TA,TA,GasA,TA,Y,SBrkr,TA,1,Fa,TA,TA,NA,GdWo,Normal,157000
16,45,RM,51,6120,Reg,1Fam,1.5Unf,7,8,BrkTil,TA,TA,GasA,Ex,Y,FuseA,TA,0,NA,TA,TA,NA,GdPrv,Normal,132000
17,20,RL,NA,11241,IR1,1Fam,1Story,6,7,CBlock,TA,TA,GasA,Ex,Y,SBrkr,TA,1,TA,TA,TA,NA,NA,Normal,149000
18,90,RL,72,10791,Reg,Duplex,1Story,4,5,Slab,NA,NA,GasA,TA,Y,SBrkr,TA,0,NA,TA,TA,NA,NA,Normal,90000
19,20,RL,66,13695,Reg,1Fam,1Story,5,5,PConc,TA,TA,GasA,Ex,Y,SBrkr,Gd,0,NA,TA,TA,NA,NA,Normal,159000
20,20,RL,70,7560,Reg,1Fam,1Story,5,6,CBlock,TA,TA,GasA,TA,Y,SBrkr,TA,0,NA,TA,TA,NA,MnPrv,Abnorml,139000
21,60,RL,101,14215,IR1,1Fam,2Story,8,5,PConc,Ex,TA,GasA,Ex,Y,SBrkr,Gd,1,Gd,TA,TA,NA,NA,Partial,325300
22,45,RM,57,7449,Reg,1Fam,1.5Unf,7,7,PConc,TA,TA,GasA,Ex,Y,FuseF,Gd,1,Gd,TA,TA,NA,GdPrv,Normal,139400
23,20,RL,75,9742,Reg,1Fam,1Story,8,5,PConc,Gd,TA,GasA,Ex,Y,SBrkr,Gd,1,Gd,TA,TA,NA,NA,Normal,230000
24,120,RM,44,4224,Reg,TwnhsE,1Story,5,7,PConc,Gd,TA,GasA,TA,Y,SBrkr,TA,1,TA,TA,TA,NA,NA,Normal,129900
25,20,RL,NA,8246,IR1,1Fam,1Story,5,8,CBlock,TA,TA,GasA,Ex,Y,SBrkr,Gd,1,TA,TA,TA,NA,MnPrv,Normal,154000
26,20,RL,110,14230,Reg,1Fam,1Story,8,5,PConc,Gd,TA,GasA,Ex,Y,SBrkr,Gd,1,Gd,TA,TA,NA,NA,Normal,256300
27,20,RL,60,7200,Reg,1Fam,1Story,5,7,CBlock,TA,TA,GasA,TA,Y,SBrkr,Gd,0,NA,TA,TA,NA,NA,Normal,134800
28,20,RL,98,11478,Reg,1Fam,1Story,8,5,PConc,Ex,TA,GasA,Ex,Y,SBrkr,Gd,1,Gd,TA,TA,NA,NA,Normal,306000
29,20,RL,47,16321,IR1,1Fam,1Story,5,6,CBlock,TA,TA,GasA,TA,Y,SBrkr,TA,2,Gd,TA,TA,NA,NA,Normal,207500
30,30,RM,60,6324,IR1,1Fam,1Story,4,6,BrkTil,TA,TA,GasA,Fa,N,SBrkr,Fa,0,NA,Fa,TA,NA,NA,Normal,68500
31,70,C (all),50,8500,Reg,1Fam,2Story,4,4,BrkTil,TA,TA,GasA,TA,N,SBrkr,TA,0,NA,TA,Fa,NA,MnPrv,Normal,40000
32,20,RL,NA,8544,IR1,1Fam,1Story,5,6,CBlock,TA,TA,GasA,Gd,Y,SBrkr,Gd,0,NA,TA,TA,NA,MnPrv,Normal,149350
33,20,RL,85,11049,Reg,1Fam,1Story,8,5,PConc,Ex,TA,GasA,Ex,Y,SBrkr,Gd,0,NA,TA,TA,NA,NA,Normal,179900
34,20,RL,70,10552,IR1,1Fam,1Story,5,5,CBlock,TA,TA,GasA,Gd,Y,SBrkr,Gd,1,Gd,TA,TA,NA,NA,Normal,165500
35,120,RL,60,7313,Reg,TwnhsE,1Story,9,5,PConc,Ex,TA,GasA,Ex,Y,SBrkr,Ex,1,Gd,TA,TA,NA,NA,Normal,277500
36,60,RL,108,13418,Reg,1Fam,2Story,8,5,PConc,Ex,TA,GasA,Ex,Y,SBrkr,Gd,1,Gd,TA,TA,NA,NA,Normal,309000
37,20,RL,112,10859,Reg,1Fam,1Story,5,5,PConc,Gd,TA,GasA,Ex,Y,SBrkr,TA,0,NA,TA,TA,NA,NA,Normal,145000
38,20,RL,74,8532,Reg,1Fam,1Story,5,6,CBlock,TA,TA,GasA,Gd,Y,SBrkr,TA,1,TA,TA,TA,NA,NA,Normal,153000
39,20,RL,68,7922,Reg,1Fam,1Story,5,7,CBlock,TA,TA,GasA,TA,Y,SBrkr,Gd,0,NA,TA,TA,NA,NA,Abnorml,109000
40,90,RL,65,6040,Reg,Duplex,1Story,4,5,PConc,NA,NA,GasA,TA,N,FuseP,Fa,0,NA,NA,NA,NA,NA,AdjLand,82000
41,20,RL,84,8658,Reg,1Fam,1Story,6,5,CBlock,TA,TA,GasA,Ex,Y,SBrkr,TA,1,TA,TA,TA,NA,GdWo,Abnorml,160000
42,20,RL,115,16905,Reg,1Fam,1Story,5,6,CBlock,TA,TA,GasA,Gd,Y,SBrkr,TA,2,Gd,TA,TA,NA,NA,Normal,170000
43,85,RL,NA,9180,IR1,1Fam,SFoyer,5,7,CBlock,Gd,TA,GasA,Gd,Y,SBrkr,Gd,0,NA,TA,Gd,NA,MnPrv,Normal,144000
44,20,RL,NA,9200,IR1,1Fam,1Story,5,6,CBlock,Gd,TA,GasA,TA,Y,SBrkr,TA,0,NA,TA,TA,NA,MnPrv,Normal,130250
45,20,RL,70,7945,Reg,1Fam,1Story,5,6,CBlock,TA,TA,GasA,Ex,Y,FuseA,TA,0,NA,TA,TA,NA,NA,Normal,141000
46,120,RL,61,7658,Reg,TwnhsE,1Story,9,5,PConc,Ex,TA,GasA,Ex,Y,SBrkr,Ex,1,Gd,TA,TA,NA,NA,Normal,319900
47,50,RL,48,12822,IR1,1Fam,1.5Fin,7,5,PConc,Ex,TA,GasA,Ex,Y,SBrkr,Gd,1,Ex,TA,TA,NA,NA,Abnorml,239686
48,20,FV,84,11096,Reg,1Fam,1Story,8,5,PConc,Gd,TA,GasA,Ex,Y,SBrkr,Gd,0,NA,TA,TA,NA,NA,Normal,249700
49,190,RM,33,4456,Reg,2fmCon,2Story,4,5,BrkTil,TA,TA,GasA,Gd,Y,SBrkr,TA,0,NA,NA,NA,NA,NA,Partial,113000
50,20,RL,66,7742,Reg,1Fam,1Story,5,7,CBlock,TA,TA,GasA,Ex,Y,SBrkr,TA,0,NA,TA,TA,NA,MnPrv,Normal,127000
51,60,RL,NA,13869,IR2,1Fam,2Story,6,6,PConc,Gd,TA,GasA,Gd,Y,SBrkr,TA,0,NA,TA,TA,NA,NA,Normal,177000
52,50,RM,52,6240,Reg,1Fam,1.5Fin,6,6,PConc,TA,TA,GasA,TA,Y,SBrkr,TA,1,Gd,TA,TA,NA,MnPrv,Normal,114500
53,90,RM,110,8472,IR2,Duplex,1Story,5,5,CBlock,Gd,TA,GasA,TA,N,SBrkr,TA,0,NA,TA,TA,NA,NA,Normal,110000
54,20,RL,68,50271,IR1,1Fam,1Story,9,5,CBlock,Ex,TA,GasA,Gd,Y,SBrkr,Gd,1,Gd,TA,TA,NA,NA,Normal,385000
55,80,RL,60,7134,Reg,1Fam,SLvl,5,5,CBlock,TA,TA,GasA,TA,Y,SBrkr,TA,1,TA,TA,TA,NA,MnPrv,Normal,130000
56,20,RL,100,10175,IR1,1Fam,1Story,6,5,CBlock,TA,TA,GasA,Gd,Y,SBrkr,TA,1,Gd,TA,TA,NA,NA,Normal,180500
57,160,FV,24,2645,Reg,Twnhs,2Story,8,5,PConc,Gd,TA,GasA,Ex,Y,SBrkr,Gd,0,NA,TA,TA,NA,NA,Abnorml,172500
58,60,RL,89,11645,IR1,1Fam,2Story,7,5,PConc,Gd,TA,GasA,Ex,Y,SBrkr,Gd,0,NA,TA,TA,NA,NA,Normal,196500
59,60,RL,66,13682,IR2,1Fam,2Story,10,5,PConc,Ex,TA,GasA,Ex,Y,SBrkr,Gd,1,Gd,TA,TA,NA,NA,Partial,438780
60,20,RL,60,7200,Reg,1Fam,1Story,5,7,CBlock,TA,TA,GasA,Ex,Y,SBrkr,TA,0,NA,TA,TA,NA,MnPrv,Normal,124900
61,20,RL,63,13072,Reg,1Fam,1Story,6,5,PConc,Gd,TA,GasA,Ex,Y,SBrkr,Gd,0,NA,TA,TA,NA,NA,Partial,158000
62,75,RM,60,7200,Reg,1Fam,2.5Unf,5,7,BrkTil,TA,Fa,GasA,TA,N,SBrkr,Fa,0,NA,TA,TA,NA,NA,Normal,101000
63,120,RL,44,6442,IR1,TwnhsE,1Story,8,5,PConc,Gd,Gd,GasA,Ex,Y,SBrkr,Gd,1,Gd,TA,TA,NA,NA,Normal,202500
64,70,RM,50,10300,IR1,1Fam,2Story,7,6,BrkTil,TA,TA,GasA,Gd,Y,SBrkr,TA,0,NA,TA,TA,NA,GdPrv,Normal,140000
65,60,RL,NA,9375,Reg,1Fam,2Story,7,5,PConc,Gd,TA,GasA,Ex,Y,SBrkr,Gd,0,NA,TA,TA,NA,GdPrv,Normal,219500
66,60,RL,76,9591,Reg,1Fam,2Story,8,5,PConc,Ex,TA,GasA,Ex,Y,SBrkr,Gd,1,Gd,TA,TA,NA,NA,Normal,317000
67,20,RL,NA,19900,Reg,1Fam,1Story,7,5,CBlock,Gd,TA,GasA,TA,Y,SBrkr,TA,1,Gd,TA,TA,NA,NA,Normal,180000
68,20,RL,72,10665,IR1,1Fam,1Story,7,5,PConc,Gd,TA,GasA,Ex,Y,SBrkr,Gd,0,NA,TA,TA,NA,NA,Normal,226000
69,30,RM,47,4608,Reg,1Fam,1Story,4,6,CBlock,TA,TA,GasA,TA,Y,SBrkr,TA,0,NA,TA,TA,NA,NA,Normal,80000
70,50,RL,81,15593,Reg,1Fam,1.5Fin,7,4,CBlock,TA,TA,GasW,TA,Y,SBrkr,TA,1,TA,TA,TA,NA,NA,Normal,225000
71,20,RL,95,13651,IR1,1Fam,1Story,7,6,CBlock,Gd,TA,GasA,Ex,Y,SBrkr,TA,2,Gd,TA,TA,NA,NA,Normal,244000
72,20,RL,69,7599,Reg,1Fam,1Story,4,6,CBlock,TA,TA,GasA,TA,Y,SBrkr,TA,0,NA,TA,TA,NA,NA,Normal,129500
73,60,RL,74,10141,IR1,1Fam,2Story,7,5,PConc,Gd,TA,GasA,Gd,Y,SBrkr,TA,1,TA,TA,TA,NA,NA,Normal,185000
74,20,RL,85,10200,Reg,1Fam,1Story,5,7,CBlock,TA,TA,GasA,Gd,Y,SBrkr,TA,0,NA,TA,TA,NA,GdWo,Normal,144900
75,50,RM,60,5790,Reg,1Fam,2Story,3,6,CBlock,Fa,TA,GasA,Gd,N,SBrkr,TA,0,NA,TA,TA,NA,NA,Normal,107400
76,180,RM,21,1596,Reg,Twnhs,SLvl,4,5,CBlock,Gd,TA,GasA,TA,Y,SBrkr,TA,0,NA,TA,TA,NA,GdWo,Normal,91000
77,20,RL,NA,8475,IR1,1Fam,1Story,4,7,CBlock,TA,TA,GasA,Ex,Y,FuseA,TA,0,NA,TA,TA,NA,NA,Normal,135750
78,50,RM,50,8635,Reg,1Fam,1.5Fin,5,5,CBlock,TA,TA,GasA,TA,Y,SBrkr,TA,0,NA,TA,TA,NA,MnPrv,Normal,127000
79,90,RL,72,10778,Reg,Duplex,1Story,4,5,CBlock,TA,TA,GasA,TA,N,SBrkr,TA,0,NA,NA,NA,NA,NA,Normal,136500
80,50,RM,60,10440,Reg,1Fam,2Story,5,6,PConc,TA,TA,GasA,Gd,Y,SBrkr,TA,0,NA,TA,TA,NA,MnPrv,Normal,110000
81,60,RL,100,13000,Reg,1Fam,2Story,6,6,CBlock,Gd,TA,GasA,TA,Y,SBrkr,Gd,1,Gd,TA,TA,NA,NA,Normal,193500
82,120,RM,32,4500,Reg,TwnhsE,1Story,6,5,PConc,Ex,Gd,GasA,Ex,Y,SBrkr,TA,0,NA,TA,TA,NA,NA,Normal,153500
83,20,RL,78,10206,Reg,1Fam,1Story,8,5,PConc,Gd,TA,GasA,Ex,Y,SBrkr,Gd,1,Gd,TA,TA,NA,NA,Normal,245000
84,20,RL,80,8892,IR1,1Fam,1Story,5,5,CBlock,TA,TA,GasA,Gd,Y,SBrkr,TA,0,NA,TA,TA,NA,NA,Normal,126500
85,80,RL,NA,8530,IR1,1Fam,SLvl,7,5,PConc,Gd,TA,GasA,Gd,Y,SBrkr,TA,1,TA,TA,TA,NA,NA,Normal,168500
86,60,RL,121,16059,Reg,1Fam,2Story,8,5,CBlock,Gd,TA,GasA,Ex,Y,SBrkr,Gd,1,TA,TA,TA,NA,NA,Normal,260000
87,60,RL,122,11911,IR2,1Fam,2Story,6,5,PConc,Gd,TA,GasA,Ex,Y,SBrkr,Gd,1,Gd,TA,TA,NA,NA,Normal,174000
88,160,FV,40,3951,Reg,TwnhsE,2Story,6,5,PConc,Gd,TA,GasA,Ex,Y,SBrkr,Gd,0,NA,TA,TA,NA,NA,Partial,164500
89,50,C (all),105,8470,IR1,1Fam,1.5Fin,3,2,CBlock,TA,Fa,GasA,TA,N,SBrkr,Fa,0,NA,NA,NA,NA,MnPrv,Abnorml,85000
90,20,RL,60,8070,Reg,1Fam,1Story,4,5,PConc,Gd,TA,GasA,Ex,Y,SBrkr,TA,0,NA,NA,NA,NA,NA,Normal,123600
91,20,RL,60,7200,Reg,1Fam,1Story,4,5,Slab,NA,NA,GasA,TA,Y,FuseA,TA,0,NA,TA,TA,NA,NA,Normal,109900
92,20,RL,85,8500,Reg,1Fam,1Story,5,3,CBlock,TA,TA,GasA,TA,Y,SBrkr,TA,0,NA,TA,TA,NA,GdWo,Abnorml,98600
93,30,RL,80,13360,IR1,1Fam,1Story,5,7,BrkTil,Gd,TA,GasA,Ex,Y,SBrkr,TA,0,NA,TA,TA,NA,NA,Normal,163500
94,190,C (all),60,7200,Reg,2fmCon,2.5Unf,6,6,BrkTil,TA,Fa,GasW,Ex,N,SBrkr,TA,1,Gd,TA,TA,NA,NA,Normal,133900
95,60,RL,69,9337,IR1,1Fam,2Story,6,5,PConc,Gd,TA,GasA,Ex,Y,SBrkr,Gd,0,NA,TA,TA,NA,NA,Normal,204750
96,60,RL,NA,9765,IR2,1Fam,2Story,6,8,PConc,Gd,Gd,GasA,Gd,Y,SBrkr,TA,1,TA,TA,TA,NA,NA,Normal,185000
97,20,RL,78,10264,IR1,1Fam,1Story,7,5,PConc,Gd,TA,GasA,Ex,Y,SBrkr,Gd,0,NA,TA,TA,NA,NA,Normal,214000
98,20,RL,73,10921,Reg,1Fam,1Story,4,5,CBlock,TA,TA,GasA,TA,Y,FuseF,TA,0,NA,TA,TA,NA,NA,Normal,94750
99,30,RL,85,10625,Reg,1Fam,1Story,5,5,BrkTil,TA,TA,GasA,Fa,N,SBrkr,TA,0,NA,Fa,TA,NA,NA,Abnorml,83000
100,20,RL,77,9320,IR1,1Fam,1Story,4,5,CBlock,TA,TA,GasA,Fa,Y,SBrkr,TA,0,NA,NA,NA,NA,NA,Normal,128950
101,20,RL,NA,10603,IR1,1Fam,1Story,6,7,PConc,TA,TA,GasA,Gd,Y,SBrkr,Gd,2,TA,TA,TA,NA,NA,Normal,205000
102,60,RL,77,9206,Reg,1Fam,2Story,6,5,CBlock,Gd,TA,GasA,TA,Y,SBrkr,Gd,1,TA,TA,TA,NA,NA,Normal,178000
103,90,RL,64,7018,Reg,Duplex,1Story,5,5,Slab,NA,NA,GasA,TA,Y,SBrkr,TA,0,NA,TA,TA,NA,NA,Alloca,118964
104,20,RL,94,10402,IR1,1Fam,1Story,7,5,PConc,Gd,TA,GasA,Ex,Y,SBrkr,Gd,0,NA,TA,TA,NA,NA,Normal,198900
105,50,RM,NA,7758,Reg,1Fam,1.5Fin,7,4,PConc,TA,TA,GasA,Ex,Y,FuseF,TA,2,TA,TA,TA,NA,NA,Normal,169500
106,60,FV,75,9375,Reg,1Fam,2Story,8,5,PConc,Ex,TA,GasA,Ex,Y,SBrkr,Gd,1,Gd,TA,TA,NA,NA,Normal,250000
107,30,RM,60,10800,Reg,1Fam,1Story,4,7,BrkTil,Fa,TA,GasA,Gd,Y,SBrkr,TA,0,NA,Fa,Fa,NA,NA,Normal,100000
108,20,RM,50,6000,Reg,1Fam,1Story,5,5,CBlock,TA,TA,GasA,Ex,Y,SBrkr,TA,0,NA,TA,TA,NA,NA,Partial,115000
109,50,RM,85,8500,Reg,1Fam,1.5Fin,5,7,CBlock,TA,TA,GasW,TA,N,FuseF,Fa,0,NA,NA,NA,NA,NA,Normal,115000
110,20,RL,105,11751,IR1,1Fam,1Story,6,6,CBlock,Gd,TA,GasA,Ex,Y,SBrkr,TA,1,TA,TA,TA,NA,MnPrv,Normal,190000
111,50,RL,75,9525,Reg,1Fam,1.5Fin,6,4,CBlock,TA,Fa,GasA,Gd,Y,SBrkr,TA,0,NA,TA,TA,NA,NA,Normal,136900
112,80,RL,NA,7750,IR1,1Fam,SLvl,7,5,PConc,Gd,TA,GasA,Ex,Y,SBrkr,TA,1,TA,TA,TA,NA,NA,Normal,180000
113,60,RL,77,9965,Reg,1Fam,2Story,7,5,PConc,Ex,TA,GasA,Ex,Y,SBrkr,Ex,1,Gd,TA,TA,NA,NA,Partial,383970
114,20,RL,NA,21000,Reg,1Fam,1Story,6,5,CBlock,Gd,TA,GasA,TA,Y,SBrkr,Gd,2,Gd,TA,TA,NA,MnPrv,Abnorml,217000
115,70,RL,61,7259,IR1,1Fam,2Story,6,8,CBlock,TA,TA,GasA,Ex,Y,SBrkr,Gd,1,TA,TA,TA,NA,MnPrv,Normal,259500
116,160,FV,34,3230,Reg,TwnhsE,2Story,6,5,PConc,Gd,TA,GasA,Gd,Y,SBrkr,TA,1,Fa,TA,TA,NA,NA,Normal,176000
117,20,RL,NA,11616,Reg,1Fam,1Story,5,5,CBlock,TA,TA,GasA,TA,Y,SBrkr,TA,1,Po,TA,TA,NA,NA,Normal,139000
118,20,RL,74,8536,Reg,1Fam,1Story,5,5,PConc,Gd,TA,GasA,Gd,Y,SBrkr,TA,0,NA,TA,TA,NA,NA,Partial,155000
119,60,RL,90,12376,Reg,1Fam,2Story,7,5,PConc,Gd,TA,GasA,Gd,Y,SBrkr,Gd,2,TA,TA,TA,NA,NA,Normal,320000
120,60,RL,65,8461,Reg,1Fam,2Story,6,5,PConc,Gd,TA,GasA,Ex,Y,SBrkr,Gd,1,Gd,TA,TA,NA,NA,Partial,163990
121,80,RL,NA,21453,IR1,1Fam,SLvl,6,5,CBlock,TA,TA,GasA,Ex,Y,SBrkr,TA,2,TA,TA,TA,NA,NA,Normal,180000
122,50,RM,50,6060,Reg,1Fam,1.5Fin,4,5,PConc,TA,TA,GasA,Gd,Y,SBrkr,TA,0,NA,TA,TA,NA,MnPrv,Normal,100000
123,20,RL,75,9464,Reg,1Fam,1Story,6,7,CBlock,TA,TA,GasA,Gd,Y,SBrkr,TA,0,NA,TA,TA,NA,NA,Normal,136000
124,120,RL,55,7892,Reg,TwnhsE,1Story,6,5,PConc,Gd,TA,GasA,Ex,Y,SBrkr,Gd,0,NA,TA,TA,NA,NA,Normal,153900
125,20,RL,48,17043,IR1,1Fam,1Story,6,5,CBlock,Gd,Fa,GasA,TA,Y,SBrkr,TA,1,TA,TA,TA,NA,NA,Normal,181000
126,190,RM,60,6780,Reg,2fmCon,1.5Fin,6,8,CBlock,TA,TA,GasA,Gd,N,SBrkr,TA,0,NA,NA,NA,NA,NA,Normal,84500
127,120,RL,NA,4928,IR1,TwnhsE,1Story,6,5,CBlock,Gd,TA,GasA,TA,Y,SBrkr,TA,1,TA,TA,TA,NA,NA,Normal,128000
128,45,RM,55,4388,IR1,1Fam,1.5Unf,5,7,BrkTil,TA,TA,GasA,Ex,Y,SBrkr,TA,1,TA,NA,NA,NA,NA,Normal,87000
129,60,RL,69,7590,Reg,1Fam,2Story,6,5,CBlock,TA,TA,GasA,TA,Y,SBrkr,TA,1,Fa,TA,TA,NA,NA,Normal,155000
130,20,RL,69,8973,Reg,1Fam,1Story,5,7,CBlock,TA,TA,GasA,TA,Y,FuseA,Ex,0,NA,TA,TA,NA,MnWw,Abnorml,150000
131,60,RL,88,14200,Reg,1Fam,2Story,7,6,CBlock,TA,TA,GasA,Ex,Y,SBrkr,Gd,2,Gd,TA,TA,NA,GdPrv,Normal,226000
132,60,RL,NA,12224,IR1,1Fam,2Story,6,5,PConc,Gd,TA,GasA,Ex,Y,SBrkr,Gd,1,TA,TA,TA,NA,NA,Normal,244000
133,20,RL,75,7388,Reg,1Fam,1Story,5,6,CBlock,TA,TA,GasA,Gd,Y,SBrkr,Gd,0,NA,TA,TA,NA,NA,Normal,150750
134,20,RL,NA,6853,IR1,1Fam,1Story,8,5,PConc,Ex,TA,GasA,Ex,Y,SBrkr,Gd,0,NA,TA,TA,NA,NA,Normal,220000
135,20,RL,78,10335,IR1,1Fam,1Story,5,6,CBlock,TA,TA,GasA,Gd,Y,SBrkr,TA,1,TA,TA,TA,NA,MnPrv,Normal,180000
136,20,RL,80,10400,Reg,1Fam,1Story,7,6,PConc,TA,TA,GasA,Gd,Y,SBrkr,TA,1,Gd,TA,TA,NA,MnPrv,Normal,174000
137,20,RL,NA,10355,IR1,1Fam,1Story,5,5,CBlock,TA,TA,GasA,TA,Y,SBrkr,TA,1,Fa,TA,TA,NA,NA,Normal,143000
138,90,RL,82,11070,Reg,Duplex,1Story,7,5,CBlock,TA,TA,GasA,Gd,Y,SBrkr,TA,0,NA,TA,TA,NA,NA,Family,171000
139,60,RL,73,9066,IR1,1Fam,2Story,8,5,PConc,Gd,TA,GasA,Ex,Y,SBrkr,Gd,2,TA,TA,TA,NA,GdPrv,Normal,230000
140,60,RL,65,15426,IR1,1Fam,2Story,6,5,PConc,Gd,TA,GasA,Ex,Y,SBrkr,Gd,0,NA,TA,TA,NA,MnPrv,Normal,231500
141,20,RL,70,10500,Reg,1Fam,1Story,4,5,CBlock,TA,TA,GasA,TA,Y,SBrkr,TA,1,Po,NA,NA,NA,NA,Normal,115000
142,20,RL,78,11645,Reg,1Fam,1Story,7,5,PConc,Gd,TA,GasA,Ex,Y,SBrkr,Gd,0,NA,TA,TA,NA,NA,Normal,260000
143,50,RL,71,8520,Reg,1Fam,1.5Fin,5,4,CBlock,TA,TA,GasA,Fa,Y,SBrkr,TA,0,NA,TA,TA,NA,MnPrv,Normal,166000
144,20,RL,78,10335,IR1,1Fam,1Story,7,5,PConc,Gd,TA,GasA,Ex,Y,SBrkr,Gd,0,NA,TA,TA,NA,NA,Normal,204000
145,90,RM,70,9100,Reg,Duplex,1Story,5,5,CBlock,TA,TA,GasA,TA,Y,SBrkr,TA,0,NA,TA,TA,NA,NA,Abnorml,125000
146,160,RM,24,2522,Reg,Twnhs,2Story,6,5,PConc,Gd,TA,GasA,Ex,Y,SBrkr,Gd,0,NA,TA,TA,NA,NA,Normal,130000
147,30,RM,51,6120,Reg,1Fam,1Story,5,7,BrkTil,TA,TA,GasA,TA,Y,FuseA,TA,0,NA,Fa,TA,NA,NA,Normal,105000
148,60,RL,NA,9505,IR1,1Fam,2Story,7,5,PConc,Gd,TA,GasA,Ex,Y,SBrkr,Gd,1,Gd,TA,TA,NA,NA,Normal,222500
149,20,RL,63,7500,Reg,1Fam,1Story,7,5,PConc,Gd,TA,GasA,Ex,Y,SBrkr,Gd,0,NA,NA,NA,NA,NA,Normal,141000
150,50,RM,NA,6240,Reg,1Fam,1.5Fin,5,4,BrkTil,Gd,TA,GasA,Gd,Y,FuseA,TA,0,NA,Fa,TA,NA,NA,Normal,115000
151,20,RL,120,10356,Reg,1Fam,1Story,5,6,CBlock,TA,TA,GasA,TA,Y,SBrkr,TA,0,NA,TA,TA,NA,MnPrv,Normal,122000
152,20,RL,107,13891,Reg,1Fam,1Story,8,5,PConc,Ex,TA,GasA,Ex,Y,SBrkr,Gd,1,Gd,TA,TA,NA,NA,Partial,372402
153,60,RL,NA,14803,IR1,1Fam,2Story,6,5,CBlock,TA,TA,GasA,Gd,Y,SBrkr,TA,1,Gd,TA,TA,NA,GdWo,Normal,190000
154,20,RL,NA,13500,Reg,1Fam,1Story,6,7,CBlock,Gd,TA,GasA,Gd,Y,SBrkr,TA,1,Gd,TA,TA,NA,NA,Normal,235000
155,30,RM,84,11340,Reg,1Fam,1Story,6,5,BrkTil,TA,TA,GasA,TA,Y,FuseA,TA,0,NA,Fa,Fa,NA,NA,Family,125000
156,50,RL,60,9600,Reg,1Fam,1.5Fin,6,5,BrkTil,TA,TA,Grav,Fa,N,FuseF,TA,0,NA,NA,NA,NA,NA,Normal,79000
157,20,RL,60,7200,Reg,1Fam,1Story,5,7,CBlock,NA,NA,GasA,TA,Y,FuseF,TA,0,NA,TA,TA,NA,NA,Normal,109500
158,60,RL,92,12003,Reg,1Fam,2Story,8,5,PConc,Ex,TA,GasA,Ex,Y,SBrkr,Ex,1,Gd,TA,TA,NA,NA,Partial,269500
